Title,Id,Year,Duration,Maturity Rating,Genre,Synopsis
Kabaneri of the Iron Fortress: The Battle of Unato,81095103,2019,1,18+ ,TV Shows,"Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde."
Rilakkuma and Kaoru,80196883,2019,1,7+ ,TV Shows,"Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear."
Children of the Whales,80174917,2017,1,16+ ,TV Shows,"As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island."
LOST SONG,80191369,2018,1,16+ ,TV Shows,"War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song."
Cannon Busters,80195357,2019,1,16+ ,TV Shows,Immortal renegade Philly the Kid and his transforming pink Cadillac join a relentlessly upbeat friendship droid on her quest to find a missing prince.
A.I.C.O.,80161848,2018,1,16+ ,TV Shows,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.
LAST HOPE,80221272,2018,2,16+ ,TV Shows,"After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created."
HERO MASK,80200027,2018,2,16+ ,TV Shows,"After a rash of mysterious deaths, Crown prosecutor Sarah Sinclair and SSC agent James Blood discover a conspiracy surrounding uncanny new bio-masks."
Fate/EXTRA Last Encore,80185145,2018,2,16+ ,TV Shows,"Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion, he must fight to survive."
revisions,80992787,2018,1,16+ ,TV Shows,"When Shibuya time-warps to 2388, high schooler Daisuke and his friends are conscripted by AHRV agent Milo to fight the hostile cyborg race, revisions."
Kuromukuro,80103318,2016,2,13+ ,TV Shows,"When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai."
Ingress: The Animation,80992853,2018,1,16+ ,TV Shows,"After scientists discover a mysterious substance that can influence human minds, two factions wage an all-out battle to control its awesome power."
Cyborg 009: Call of Justice,80057749,2017,1,13+ ,TV Shows,"Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity."
DRAGON PILOT: Hisone & Masotan,80241960,2018,1,16+ ,TV Shows,Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.
ID-0,80174918,2017,1,16+ ,TV Shows,"In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure."
Aggretsuko: We Wish You a Metal Christmas,81008536,2018,2,7+ ,Comedy Anime,"While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control."
